GeneSymbol	Fetal Mesenchymal Stem Cells	Fetal CD14+ Monocytes	Fetal CD8+ Activated T Cells	Fetal Naive CD4+ T Cells	Fetal Naive CD8+ T Cells	Fetal Natural Killer T Cells	Fetal B Cells	Fetal GZMK+ Natural Killer	Fetal Memory CD4+ T Cells	Fetal Hofbauer Cells	Fetal Plasmacytoid Dendritic Cells	Fetal GZMB+ Natural Killer	Fetal Endothelial Cells	Fetal Syncytiotrophoblast	Fetal Fibroblasts	Fetal Cytotrophoblasts	Fetal Proliferative Cytotrophoblasts	Fetal Nucleated Red Blood Cells	Maternal CD8+ Activated T Cells	Maternal Naive CD4+ T Cells	Maternal FCGR3A+ Monocytes	Maternal CD14+ Monocytes	Maternal Natural Killer Cells	Maternal B Cells	Maternal Plasma Cells	Maternal Naive CD8+ T Cells	Fetal Extravillous Trophoblasts
TCIM	27.26336619687853613	0.00000000000000000	3.21288309105712466	22.68781698460625762	0.00000000000000000	0.00000000000000000	20.13863392720005407	0.00000000000000000	23.03800251592896586	11.98398949853029727	170.53906979316556658	0.00000000000000000	1202.57501547651713736	16.91144236318327998	486.33890812544979099	8.62863624295344955	51.24891697124424894	0.00000000000000000	4.21047182905891937	0.00000000000000000	13.56444434773773189	0.00000000000000000	15.34246722063074486	0.00000000000000000	29.38545920842776837	0.00000000000000000	141.07398800528685001
TCL1A	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000
TCL1B	0.00000000000000000	0.00000000000000000	0.00000000000000000	1.35557217981036549	0.00000000000000000	0.00000000000000000	4.63943876647296705	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	45.71783859503312186	0.00000000000000000	20.72097205748923798	0.32119868586103711	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	1.36938817879099517	7.74542803790745182
TCL6	1.82358210593995351	0.00000000000000000	9.54872270894767183	0.00000000000000000	0.00000000000000000	0.00000000000000000	29.22047224934046028	22.17259012363378190	12.07959405273144782	2.69416622215948998	0.00000000000000000	0.00000000000000000	6.16121458200626915	720.48569209008462622	1.65367553452924643	19.26994801107676381	6.71379395477560337	165.30076564086593294	0.99818398802382990	0.00000000000000000	1.49049827811842195	0.00000000000000000	1.64034229250604335	37.68643538432279882	51.77492286505352581	0.99078161110581175	30.40977251052061092
TCN2	0.96559583955845685	10.20368009305092549	0.56861757453975159	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	35.27231482111045580	0.00000000000000000	0.00000000000000000	88.91302960457750260	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	28.82326180251692804	24.86135799613616371	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000
TCOF1	10.43414037643821324	21.07523008154319655	19.17778555433398324	14.99719186837583784	16.41145940266358494	14.18093296554294191	143.97649110542621997	61.72859733252307990	20.06222118547521305	20.76007385423364582	4.04065028009838656	75.56348718367202366	11.82092058034845650	10.07357114377691865	10.36009741204414070	9.81255772106778679	18.77377850387731684	132.85789474333975591	20.09672267637213494	10.51571932411952659	32.89734937006856796	13.20852756136328487	19.67596426424197986	119.64894670902609164	43.72950668912880445	6.23150942871124069	5.61386518815607616
TCTEX1D1	0.36613800521276085	0.00000000000000000	0.00000000000000000	0.42878214105104845	3.39654374094444789	0.00000000000000000	0.00000000000000000	0.12647174546981110	0.00000000000000000	5.15788919393101875	37.42960592241984585	0.00000000000000000	50.31265957319512694	0.00000000000000000	0.00000000000000000	0.02701412723767992	0.11765151428383790	19.94585318190385337	0.00000000000000000	1.51289813109658633	1.72591446238694868	0.00000000000000000	2.67816558526273685	0.76477385815318866	0.00000000000000000	0.00000000000000000	0.17053841600315994
TCTN1	18.82982587338139879	0.00000000000000000	0.00000000000000000	1.78603497603699202	1.94338183012101084	0.00000000000000000	4.15737477689362844	0.00000000000000000	0.00000000000000000	3.68526584119578660	0.00000000000000000	0.00000000000000000	1.15345071137934219	8.11964044445761601	15.12038813111074376	26.65904390665232526	24.60675335955360765	0.00000000000000000	0.00000000000000000	0.00000000000000000	1.14681456494338985	0.00000000000000000	0.93863929641446686	16.40853816191362213	8.26725134322896160	0.00000000000000000	3.01185335062361403
TDRP	13.97179303008733164	24.89823082695774659	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	71.61329880135558312	31.73733454010961097	11.92033676317443636	2.06073836245266362	28.23781698192490452	46.25816309941112081	41.01538806299888762	11.17883164296985754	227.90843690974719493	101.26929761911577543	301.64510157994243400	8.91008278239081442	11.59532428763388268	1.78521681980382363	22.03837691793859932	25.00520235838752114	11.23272851073741130	0.00000000000000000	9.01559082629657738	49.46670127318238031
TEAD1	23.12400259176357764	0.00000000000000000	0.93069981552327952	1.46272708806589247	1.90077767173061840	0.00000000000000000	0.22108216789836171	11.60697807330860876	0.00000000000000000	2.17237643907950373	0.00000000000000000	0.00000000000000000	19.97208798882227043	5.93796207447160551	35.38387918696687251	52.33503772218277561	36.79220224250549620	0.00000000000000000	4.88940433849978806	0.00000000000000000	1.25902169701927669	1.76539440085185406	2.90928524140070044	3.21781564927605679	0.00000000000000000	4.13384898123299127	119.07900261497846373
TEAD2	14.71692322800864439	0.00000000000000000	1.74217609897135750	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	73.78731962127871213	2.27227852385345530	48.31568700284289974	0.16221632078928439	0.00000000000000000	0.00000000000000000	0.00000000000000000	3.86782151347900838	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.00000000000000000	1.47331809555072368
