Mixture	Fetal Mesenchymal Stem Cells	Fetal CD14+ Monocytes	Fetal CD8+ Activated T Cells	Fetal Naive CD4+ T Cells	Fetal Naive CD8+ T Cells	Fetal Natural Killer T Cells	Fetal B Cells	Fetal GZMK+ Natural Killer	Fetal Memory CD4+ T Cells	Fetal Hofbauer Cells	Fetal Plasmacytoid Dendritic Cells	Fetal GZMB+ Natural Killer	Fetal Endothelial Cells	Fetal Syncytiotrophoblast	Fetal Fibroblasts	Fetal Cytotrophoblasts	Fetal Proliferative Cytotrophoblasts	Fetal Nucleated Red Blood Cells	Maternal CD8+ Activated T Cells	Maternal Naive CD4+ T Cells	Maternal FCGR3A+ Monocytes	Maternal CD14+ Monocytes	Maternal Natural Killer Cells	Maternal B Cells	Maternal Plasma Cells	Maternal Naive CD8+ T Cells	Fetal Extravillous Trophoblasts	P-value	Correlation	RMSE
STP0114	0.06630786607859561	0.00000000000000000	0.04609765173527533	0.00000000000000000	0.00000000000000000	0.03328089276902067	0.04639756108687038	0.00948171008234267	0.00000000000000000	0.03835836500566120	0.10711609480619538	0.00000000000000000	0.04396015194788928	0.11794394047715825	0.01289489146996999	0.24854478838400845	0.00678362448125229	0.00067153797059298	0.00000000000000000	0.08831393604595388	0.00000000000000000	0.04199926098375635	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.06655498272429800	0.02529274395115933	0.00000000000000000	0.99498142551592184	0.50717635674885253
STP0117	0.07794067071463813	0.00000000000000000	0.02244403080926579	0.00000000000000000	0.00000000000000000	0.01862699065269471	0.01711716921727422	0.00000000000000000	0.05216086801387290	0.02624635838745124	0.10737021993395618	0.00207523477828093	0.01541490890354763	0.14177619054259383	0.00155825974383833	0.18820762025587479	0.00000000000000000	0.00126094868894372	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.04837709807102903	0.01829976022694300	0.01174807598173727	0.00000000000000000	0.20980329161948896	0.03957230345856935	0.00000000000000000	0.98670744443606917	0.42798965282964574
STP0513	0.06279115054402125	0.00381839835675577	0.02813532954694252	0.00000000000000000	0.00000000000000000	0.05555470368824273	0.00000000000000000	0.00000000000000000	0.02845803126403325	0.04921825957766296	0.05246012956125118	0.01900850408553491	0.13324794305453441	0.06483262608544810	0.07066429764173199	0.33119907083067152	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.02285836981413410	0.00584396735347448	0.00411159507494955	0.00000000000000000	0.01221823516893007	0.00000000000000000	0.04929849067792352	0.00628089767375772	0.00000000000000000	0.96962928279495952	0.72695922495038312
STP0704	0.06547478535479889	0.00000000000000000	0.03388043906049800	0.00000000000000000	0.00000000000000000	0.00275841825185521	0.03727629768077192	0.00000000000000000	0.04181343537650981	0.02028436229226870	0.09105967100831618	0.02814972535439927	0.04266593901032760	0.12472736001295101	0.01317431678324790	0.20805434224414018	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.04666589957716843	0.00000000000000000	0.02621717382256843	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.09614496457726522	0.12165286959291295	0.00000000000000000	0.98258567770386973	0.47951099484599208
STP0780	0.08100338639821299	0.00000000000000000	0.02749814362939856	0.00000000000000000	0.00000000000000000	0.02273348348003115	0.03397052375126366	0.00000000000000000	0.05055632913420231	0.03099910290990071	0.07474044592244335	0.01824504307323944	0.08758946326749600	0.09165165260064831	0.02509790131164479	0.29562000104446151	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.05715347255708189	0.01834625810889670	0.02102617977164159	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.01889712104956105	0.04487149198987607	0.00000000000000000	0.98944937191782467	0.60990954724730595
STP0784	0.14149614466377752	0.00000000000000000	0.04178203515291646	0.00000000000000000	0.00988840567159905	0.03532516085829317	0.01631091949231537	0.00000000000000000	0.00388753960033521	0.08106341636257752	0.05587988945325545	0.02110421001174199	0.10235446437890273	0.07164787015990474	0.01730876576210000	0.20928659445621536	0.00000000000000000	0.00211830234612596	0.00000000000000000	0.04731561716102501	0.00515650460927685	0.04392199823161560	0.00000000000000000	0.02212700371228129	0.00000000000000000	0.06090922790474204	0.01111593001099857	0.00000000000000000	0.97970051910625555	0.70025969613585048
STP0938	0.06496783807505878	0.00000000000000000	0.03416091312457998	0.00000000000000000	0.00000000000000000	0.02490455774017944	0.04529535513564530	0.00000000000000000	0.01964389165857731	0.03228359626414493	0.04265219713954308	0.01486923618817207	0.04296840103024782	0.07866909652223232	0.00488350327898756	0.24300142198914731	0.02347442881181816	0.00000000000000000	0.00000000000000000	0.10619430330525584	0.00000000000000000	0.03078248265929167	0.00000000000000000	0.00006091587668714	0.00449619236358780	0.05723923590045791	0.12945243293638559	0.00000000000000000	0.91284367565655977	0.68866479275176040
STP0941	0.08985489897746748	0.00000000000000000	0.03300622806654317	0.00000000000000000	0.00000000000000000	0.02701013976771888	0.04636661868220636	0.00000000000000000	0.06094302224680995	0.01994963411933018	0.06762548813965061	0.00000000000000000	0.11753314069930094	0.08571639986968696	0.01050189929466280	0.23064499328236662	0.00000000000000000	0.00094472536071803	0.00000000000000000	0.01317248579486632	0.00000000000000000	0.03829859541092697	0.02125439475112965	0.00000000000000000	0.00000000000000000	0.11364995934046322	0.02352737619615189	0.00000000000000000	0.97364379764249620	0.64782411670326401
STP1176	0.08620395056288224	0.01919500736233202	0.01903758991224172	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.03557362759544162	0.01106226468762131	0.00000000000000000	0.01014000836333057	0.09214673211030601	0.01215825838458444	0.05208950316209519	0.10407545060603371	0.00000000000000000	0.21066490674555882	0.00000000000000000	0.00063339252577600	0.00000000000000000	0.05769538464270508	0.00318834940899848	0.00137605122606960	0.02414092814460879	0.00244065579581596	0.00000000000000000	0.12795916729809695	0.13021877146550145	0.00000000000000000	0.97200400640199458	0.56068942059658078
STP1207	0.08955312406466627	0.00000000000000000	0.02966678357321227	0.00000000000000000	0.00000000000000000	0.01686483739665012	0.02398186630898391	0.00000000000000000	0.00000000000000000	0.01778403489337754	0.05220182016005167	0.02208680818062064	0.08371477286892347	0.09572242241350272	0.01991778914818164	0.15917636885133857	0.00000000000000000	0.00000000000000000	0.00000000000000000	0.10472460234461485	0.00000000000000000	0.01246312474788716	0.00873687141955386	0.01384555879263796	0.00905575632301756	0.06723990454291671	0.17326355396986304	0.00000000000000000	0.95351643557110632	0.60042617750438909
